character,category,base_file,no_box_reason,face_detected,face_conf,head_detected,head_conf,image_size,match_status,match_threshold,match_box,diff_total,diff_no_box
avg_npc_212_1,avg,avg_npc_212_1.png,face置信度不足(0.629<=0.8),True,0.6291,True,0.8903,"[1024, 1024]",,,,6,6
avg_npc_2131_1,avg,avg_npc_2131_1$1.png,head置信度不足(0.676<=0.7),True,0.9063,True,0.676,"[1508, 1508]",,,,9,9
avg_npc_2132_1,avg,avg_npc_2132_1$1.png,face未检出; head置信度不足(0.671<=0.7),False,,True,0.6709,"[1296, 1296]",,,,0,0
avg_npc_2133_1,avg,avg_npc_2133_1$1.png,face未检出; head未检出,False,,False,,"[1268, 1268]",,,,0,0
avg_npc_2134_1,avg,avg_npc_2134_1$1.png,face未检出; head未检出,False,,False,,"[1328, 1328]",,,,0,0
avg_npc_2135_1,avg,avg_npc_2135_1$1.png,face未检出; head未检出,False,,False,,"[1300, 1300]",,,,0,0
avg_npc_2136_1,avg,avg_npc_2136_1$1.png,face置信度不足(0.428<=0.8),True,0.4282,True,0.7145,"[1300, 1300]",,,,0,0
avg_npc_214_1,avg,avg_npc_214_1$1.png,face置信度不足(0.689<=0.8),True,0.6889,True,0.7777,"[1024, 1024]",,,,14,14
avg_npc_214_1,avg,avg_npc_214_1$2.png,face置信度不足(0.745<=0.8),True,0.7449,True,0.7498,"[1024, 1024]",,,,14,14
avg_npc_214_1,avg,avg_npc_214_1$3.png,face置信度不足(0.730<=0.8),True,0.73,True,0.7457,"[1024, 1024]",,,,14,14
avg_npc_215_1,avg,avg_npc_215_1.png,head未检出,True,0.995,False,,"[1024, 1024]",,,,6,6
avg_npc_216,avg,avg_npc_216.png,face未检出,False,,True,0.7316,"[1024, 1024]",,,,0,0
avg_npc_217,avg,avg_npc_217.png,face未检出,False,,True,0.8788,"[1024, 1024]",,,,0,0
avg_npc_2170_1,avg,avg_npc_2170_1$1.png,face未检出,False,,True,0.8646,"[1304, 1304]",,,,0,0
avg_npc_218,avg,avg_npc_218.png,face未检出,False,,True,0.7957,"[1024, 1024]",,,,0,0
avg_npc_219,avg,avg_npc_219.png,face未检出; head置信度不足(0.596<=0.7),False,,True,0.5962,"[1024, 1024]",,,,0,0
avg_npc_220,avg,avg_npc_220.png,face未检出,False,,True,0.7943,"[1024, 1024]",,,,0,0
avg_npc_2201_1,avg,avg_npc_2201_1$1.png,face未检出; head置信度不足(0.578<=0.7),False,,True,0.578,"[1408, 1408]",,,,11,11
avg_npc_221,avg,avg_npc_221.png,face未检出,False,,True,0.7882,"[1024, 1024]",,,,0,0
avg_npc_222,avg,avg_npc_222.png,face置信度不足(0.645<=0.8),True,0.6453,True,0.8864,"[1024, 1024]",,,,0,0
avg_npc_2223_1,avg,avg_npc_2223_1$1.png,face未检出,False,,True,0.8623,"[1152, 1152]",,,,0,0
avg_npc_2226_1,avg,avg_npc_2226_1$1.png,face置信度不足(0.597<=0.8),True,0.5965,True,0.7675,"[1356, 1356]",,,,6,6
avg_npc_2237_1,avg,avg_npc_2237_1$1.png,face置信度不足(0.523<=0.8),True,0.5232,True,0.8167,"[1484, 1484]",,,,0,0
avg_npc_2238_1,avg,avg_npc_2238_1$1.png,face未检出; head未检出,False,,False,,"[512, 512]",,,,0,0
avg_npc_2239_1,avg,avg_npc_2239_1$1.png,head置信度不足(0.686<=0.7),True,0.9991,True,0.6864,"[1472, 1472]",,,,0,0
avg_npc_224,avg,avg_npc_224.png,face未检出,False,,True,0.8352,"[1024, 1024]",,,,0,0
avg_npc_2240_1,avg,avg_npc_2240_1$1.png,head置信度不足(0.447<=0.7),True,0.9968,True,0.447,"[1536, 1536]",,,,0,0
avg_npc_2244_1,avg,avg_npc_2244_1$1.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_225,avg,avg_npc_225.png,face未检出; head未检出,False,,False,,"[1024, 1024]",,,,0,0
avg_npc_2250_1,avg,avg_npc_2250_1$1.png,face未检出; head未检出,False,,False,,"[1072, 1072]",,,,9,9
avg_npc_2251_1,avg,avg_npc_2251_1$1.png,face未检出,False,,True,0.7703,"[1072, 1072]",,,,7,7
avg_npc_2252_1,avg,avg_npc_2252_1$1.png,face未检出; head置信度不足(0.661<=0.7),False,,True,0.6606,"[1072, 1072]",,,,3,3
avg_npc_2253_1,avg,avg_npc_2253_1$1.png,face未检出; head置信度不足(0.612<=0.7),False,,True,0.6121,"[1072, 1072]",,,,8,8
avg_npc_2254_1,avg,avg_npc_2254_1$1.png,face未检出,False,,True,0.9372,"[1624, 1624]",,,,7,7
avg_npc_2255_1,avg,avg_npc_2255_1$1.png,face置信度不足(0.434<=0.8),True,0.4341,True,0.9152,"[1528, 1528]",,,,6,6
